laptop-brand,laptop-model,laptop-screensize,laptop-ram,laptop-storage,laptop-cpu,laptop-operating_system,laptop-price,laptop-rating,laptop-review_count,laptop-graphics_card_description
Lenovo,No laptopmodel,15.6 Inches,16 GB,512 GB,Athlon X2 Dual Core 7550,Windows 11 Home,"24,990",5.0,2 ratings,Integrated
Lenovo,IdeaPad Slim,15 Inches,16 GB,512 GB,Intel Core i7,Windows 11 Home,"66,690",3.9,780 ratings,Integrated
acer,Aspire Lite,15.6 Inches,32 GB,No storage,Ryzen 3 5300U,Windows 11 Home,"29,990",4.0,"1,071 ratings",Integrated
HP,16-aa0665TU,40.6 Centimetres,32 GB,2 TB,Others,Windows 11 Home,"1,87,990",4.0,8 ratings,Integrated
HP,Victus Gaming Laptop,39.6 Centimetres,16 GB,512 GB,AMD Ryzen 5 5600X,Windows 11 Home,"58,800",4.1,217 ratings,Dedicated
Lenovo,Lenovo V15,15.6 Inches,32 GB,1 TB,Celeron N,Windows 11 Home,"22,990",3.2,40 ratings,Integrated
Apple,MacBook Pro,14 Inches,No ram,No storage,No cpu,No operating_system,"1,82,990",5.0,1 rating,No description
acer,Aspire 3D 15 SpatialLabs Edition,15.6 Inches,32 GB,1 TB,Core i7,Windows 11 Home,"1,74,990",No rating,No review_count,Dedicated
Apple,MacBook Air,13.6 Inches,No ram,No storage,No cpu,No operating_system,"1,34,900",4.6,108 ratings,No description
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i5,Windows 11 Home,"52,990",3.9,348 ratings,Integrated
MagicRaven,No laptopmodel,15.6 Inches,No ram,No storage,No cpu,No operating_system,"10,999",4.5,595 ratings,No description
ASUS,ASUS Vivobook 16,16 Inches,16 GB,512 GB,Core i5-12500H,Windows 11 Home,"53,990",3.9,75 ratings,Integrated
Lenovo,IdeaPad 1 14IGL7,14 Inches,8 GB,512 GB,Celeron N4020,Windows 11 Home,"24,490",3.7,274 ratings,Integrated
Lenovo,83B1004XIN,14 Inches,16 GB,1 TB,Core i7,Windows 11 Home,"1,75,890",3.7,4 ratings,Integrated
Lenovo,G3,14 Inches,16 GB,512 GB,Core i5-1235U,Windows 11 Pro,"34,890",3.8,36 ratings,Integrated
HP,HP Laptop,15.6 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"55,990",No rating,No review_count,Integrated
ASUS,ASUS Zenbook 14 OLED,14 Inches,16 GB,1 TB,Intel Core Ultra 5,Windows 11 Home,"94,990",3.8,12 ratings,Integrated
HP,HP Laptop,14 Inches,8 GB,512 GB,Intel Core i3,Windows 11 Home,"37,632",4.1,"1,211 ratings",Integrated
HP,HP Pavilion Plus Laptop 14-ew0153TU,35.6 Centimetres,16 GB,1 TB,Core i7,Windows 11 Home,"1,04,999",2.6,2 ratings,Integrated
Samsung,Samsung Galaxy Book4,15.6 Inches,16 GB,512 GB,Intel Core i5,Windows 11 Home,"54,000",3.9,26 ratings,Integrated
Lenovo,Lenovo ThinkPad,14 Inches,16 GB,No storage,Intel Core i5,Windows,No price,5.0,9 ratings,Integrated
Lenovo,Tab Plus,11.5 Inches,No ram,No storage,No cpu,Android,"21,999",4.3,498 ratings,Integrated
acer,Predator Helios Neo 16,16 Inches,32 GB,No storage,Core i9,Windows 11 Home,"1,65,000",4.1,66 ratings,Dedicated
Lenovo,Lenovo Thinkpad,13.3 Inches,32 GB,No storage,Intel Core i5,Windows,No price,4.6,6 ratings,Integrated
ASUS,ASUS Vivobook 16,16 Inches,16 GB,512 GB,Core i9,Windows 11 Home,No price,1.0,1 rating,Integrated
MSI,Modern 14,36 Centimetres,16 GB,512 GB,Intel Core i7,Windows 11 Home,"48,990",4.0,12 ratings,Integrated
HP,HP Pavilion Laptop,14 Inches,16 GB,1 TB,Core i7,Windows 11 Home,"75,990",4.0,686 ratings,Integrated
Dell,Latitude,15.6 Inches,64 GB,1 TB,Intel Core i7,Windows 11 Pro,"1,82,999",4.1,13 ratings,Integrated
Apple,MacBook Pro,16 Inches,No ram,No storage,No cpu,No operating_system,"2,39,990",3.1,4 ratings,No description
HP,HP ZHAN 99 Mobile Workstation G4,39.6 Centimetres,16 GB,1 TB,Ryzen 5,Windows 11 Home,"1,17,516",No rating,No review_count,Dedicated
MSI,Stealth 16 Studio A13VF-023IN,41 Centimetres,64 GB,No storage,Intel Core i7,Windows 11 Home,"2,19,990",No rating,No review_count,Dedicated
Lenovo,IdeaPad,14 Inches,32 GB,1 TB,Core i9,Windows 11 Home,"1,09,990",4.2,93 ratings,Integrated
Lenovo,IdeaPad Slim 5,16 Inches,16 GB,1 TB,Core i7,Windows 11 Home,"84,990",5.0,1 rating,Integrated
AIR,EDU11ONE,11.6 Inches,32 MB,No storage,Celeron N4020,Windows 11 Home,"15,490",5.0,2 ratings,Integrated
Lenovo,V14 G3 IAP,1 Centimetres,4 GB,256 GB,Core i5-2310,DOS,"34,990",4.0,5 ratings,Integrated
Lenovo,Lenovo V14,14 Inches,8 GB,512 GB,Core i5-1235U,Windows 11 Home,"35,000",3.7,14 ratings,Integrated
Lenovo,Lenovo V15,15.6 Inches,16 GB,512 GB,Celeron N,Windows 11 Home,"22,815",3.2,40 ratings,Integrated
HP,255 G10,15.6 Inches,8 GB,512 GB,Ryzen 3,DOS,"25,830",2.9,5 ratings,Integrated
HP,16-u0022TX,40.6 Centimetres,16 GB,No storage,Core i7,Windows 11 Home,"1,50,990",No rating,No review_count,Integrated
HP,HP Laptop,39.6 Centimetres,16 GB,512 GB,Intel Core i3,Windows 11 Home,"36,090",4.0,50 ratings,Integrated
MSI,Vector 17 HX,43 Centimetres,96 GB,No storage,Intel Core i9,Windows 11 Home,"2,19,990",5.0,3 ratings,Dedicated
MSI,Vector 17 HX,43 Centimetres,96 GB,No storage,Core i9,Windows 11 Home,"2,49,990",3.8,5 ratings,Dedicated
HP,HP Laptop,40.9 Centimetres,16 GB,1 TB,Ryzen 9,Windows 11 Home,"1,51,990",3.1,12 ratings,Dedicated
Microsoft,Laptop 4,13 Inches,16 GB,512 GB,Core i5,Windows 11 Home,"99,990",2.4,5 ratings,Integrated
ASUS,Vivobook Go 14,14 Inches,8 GB,512 GB,Ryzen 3,Windows 11 Home,"30,990",3.9,88 ratings,Integrated
Lenovo,Ideapad,15.6 Inches,12 GB,512 GB,Core i3,Windows 11 Home,"34,400",4.1,"1,033 ratings",Integrated
ARZOPA,No laptopmodel,15.6 Inches,No ram,No storage,No cpu,No operating_system,"12,998",4.4,451 ratings,No description
No laptopbrand,16-xf0060AX,40.9 Inches,16 GB,1 TB,Ryzen 7,Windows 11 Home,"1,11,490",3.9,175 ratings,Dedicated
